MW,PLATE
50,Non-sensitizer
250,Sensitizer
650,Non-sensitizer
250,Non-sensitizer
400,Non-sensitizer
200,Non-sensitizer
600,Non-sensitizer
200,Non-sensitizer
200,Sensitizer
300,Non-sensitizer
200,Sensitizer
50,Sensitizer
250,Sensitizer
100,Sensitizer
150,Non-sensitizer
150,Non-sensitizer
150,Non-sensitizer
250,Non-sensitizer
150,Non-sensitizer
400,Non-sensitizer
450,Non-sensitizer
600,Non-sensitizer
600,Non-sensitizer
50,Non-sensitizer
150,Sensitizer
300,Non-sensitizer
250,Sensitizer
150,Non-sensitizer
250,Sensitizer
50,Non-sensitizer
150,Sensitizer
150,Sensitizer
150,Sensitizer
150,Non-sensitizer
150,Non-sensitizer
200,Non-sensitizer
350,Sensitizer
200,Sensitizer
250,Non-sensitizer
200,Sensitizer
500,Non-sensitizer
100,Sensitizer
150,Sensitizer
450,Sensitizer
50,Non-sensitizer
750,Non-sensitizer
150,Non-sensitizer
150,Sensitizer
150,Sensitizer
100,Non-sensitizer
150,Sensitizer
150,Non-sensitizer
100,Non-sensitizer
150,Sensitizer
100,Sensitizer
150,Non-sensitizer
250,Non-sensitizer
200,Sensitizer
250,Sensitizer
150,Sensitizer
250,Sensitizer
150,Sensitizer
150,Non-sensitizer
300,Sensitizer
650,Non-sensitizer
150,Non-sensitizer
100,Non-sensitizer
250,Sensitizer
300,Non-sensitizer
450,Non-sensitizer
150,Non-sensitizer
100,Sensitizer
100,Sensitizer
50,Non-sensitizer
100,Non-sensitizer
150,Non-sensitizer
150,Sensitizer
150,Non-sensitizer
350,Non-sensitizer
600,Non-sensitizer
50,Sensitizer
150,Non-sensitizer
150,Non-sensitizer
250,Sensitizer
150,Sensitizer
450,Non-sensitizer
200,Sensitizer
100,Sensitizer
500,Non-sensitizer
250,Non-sensitizer
100,Non-sensitizer
100,Sensitizer
100,Sensitizer
200,Sensitizer
200,Sensitizer
100,Non-sensitizer
150,Non-sensitizer
50,Non-sensitizer
250,Sensitizer
400,Non-sensitizer
150,Sensitizer
150,Sensitizer
200,Sensitizer
150,Non-sensitizer
300,Sensitizer
150,Non-sensitizer
500,Sensitizer
400,Non-sensitizer
250,Sensitizer
250,Non-sensitizer
50,Sensitizer
450,Non-sensitizer
150,Sensitizer
150,Sensitizer
200,Non-sensitizer
450,Non-sensitizer
200,Sensitizer
300,Non-sensitizer
150,Non-sensitizer
100,Non-sensitizer
100,Sensitizer
100,Non-sensitizer
100,Non-sensitizer
200,Non-sensitizer
550,Non-sensitizer
150,Non-sensitizer
150,Non-sensitizer
150,Sensitizer
300,Non-sensitizer
100,Non-sensitizer
300,Non-sensitizer
350,Non-sensitizer
200,Non-sensitizer
200,Sensitizer
100,Sensitizer
350,Non-sensitizer
150,Sensitizer
50,Non-sensitizer
400,Sensitizer
250,Non-sensitizer
350,Sensitizer
100,Sensitizer
100,Non-sensitizer
300,Sensitizer
200,Non-sensitizer
200,Non-sensitizer
150,Sensitizer
50,Non-sensitizer
100,Sensitizer
150,Sensitizer
150,Non-sensitizer
150,Sensitizer
150,Non-sensitizer
100,Non-sensitizer
150,Sensitizer
700,Non-sensitizer
100,Non-sensitizer
100,Sensitizer
250,Sensitizer
150,Sensitizer
200,Sensitizer
100,Sensitizer
250,Sensitizer
150,Non-sensitizer
250,Sensitizer
350,Non-sensitizer
450,Non-sensitizer
450,Non-sensitizer
400,Non-sensitizer
250,Sensitizer
100,Sensitizer
350,Non-sensitizer
150,Non-sensitizer
150,Sensitizer
300,Sensitizer
100,Non-sensitizer
200,Sensitizer
200,Sensitizer
350,Sensitizer
400,Non-sensitizer
350,Non-sensitizer
450,Non-sensitizer
100,Non-sensitizer
200,Sensitizer
150,Non-sensitizer
200,Sensitizer
700,Non-sensitizer
100,Sensitizer
300,Sensitizer
350,Sensitizer
200,Non-sensitizer
100,Sensitizer
250,Sensitizer
200,Sensitizer
50,Non-sensitizer
250,Sensitizer
100,Sensitizer
550,Non-sensitizer
150,Sensitizer
100,Non-sensitizer
350,Non-sensitizer
400,Non-sensitizer
400,Non-sensitizer
200,Sensitizer
300,Non-sensitizer
650,Non-sensitizer
450,Non-sensitizer
150,Non-sensitizer
150,Sensitizer
300,Non-sensitizer
150,Non-sensitizer
150,Sensitizer
100,Sensitizer
350,Non-sensitizer
50,Non-sensitizer
200,Sensitizer
400,Sensitizer
50,Sensitizer
150,Sensitizer
350,Non-sensitizer
150,Sensitizer
50,Sensitizer
700,Non-sensitizer
150,Non-sensitizer
100,Non-sensitizer
300,Non-sensitizer
200,Sensitizer
300,Non-sensitizer
150,Non-sensitizer
600,Non-sensitizer
300,Non-sensitizer
100,Sensitizer
200,Non-sensitizer
200,Non-sensitizer
300,Sensitizer
100,Sensitizer
100,Sensitizer
100,Non-sensitizer
150,Non-sensitizer
100,Sensitizer
100,Non-sensitizer
250,Sensitizer
700,Sensitizer
100,Sensitizer
250,Non-sensitizer
100,Non-sensitizer
900,Non-sensitizer
250,Non-sensitizer
150,Sensitizer
500,Non-sensitizer
300,Non-sensitizer
650,Non-sensitizer
1000,Non-sensitizer
500,Non-sensitizer
100,Non-sensitizer
350,Sensitizer
150,Sensitizer
150,Sensitizer
400,Non-sensitizer
100,Non-sensitizer
200,Non-sensitizer
100,Non-sensitizer
50,Sensitizer
400,Non-sensitizer
300,Non-sensitizer
150,Non-sensitizer
100,Sensitizer
150,Non-sensitizer
500,Non-sensitizer
200,Sensitizer
150,Sensitizer
550,Non-sensitizer
250,Non-sensitizer
200,Sensitizer
400,Sensitizer
50,Non-sensitizer
350,Sensitizer
100,Sensitizer
300,Non-sensitizer
150,Sensitizer
150,Non-sensitizer
400,Non-sensitizer
150,Non-sensitizer
